County,Number of Students Selected,Number of Students Transitioned,Number of Students not yet transitioned,Total,% Transition Rate,% Failed Transition
Baringo,24146,20581,3565,24146,85.2356498,14.7643502
Bomet,39383,37218,2165,39383,94.50270421,5.497295788
Bungoma,65472,53871,11601,65472,82.28097507,17.71902493
Busia,39444,36254,3190,39444,91.91258493,8.087415069
Elgeyo Marakwet,24854,21747,3107,24854,87.49899413,12.50100587
Embu,19060,18146,914,19060,95.204617,4.795383001
Garissa,13526,11578,1948,13526,85.59810735,14.40189265
Homa Bay,46208,43027,3181,46208,93.11591066,6.884089335
Isiolo,4834,3707,1127,4834,76.68597435,23.31402565
Kajiado,30239,19313,10926,30239,63.86785277,36.13214723
Kakamega,68320,67310,1010,68320,98.52166276,1.478337237
Kericho,35942,33189,2753,35942,92.34043737,7.659562629
Kiambu,43304,42002,1302,43304,96.99334934,3.006650656
Kilifi,33839,26827,7012,33839,79.27834747,20.72165253
Kirinyaga,17280,16910,370,17280,97.8587963,2.141203704
Kisii,45102,42696,2406,45102,94.66542504,5.334574963
Kisumu,35652,31432,4220,35652,88.16335689,11.83664311
Kitui,42895,41123,1773,42896,95.8689824,4.133348875
Kwale,19015,15373,3642,19015,80.84669997,19.15330003
Laikipia,13300,13188,112,13300,99.15789474,0.842105263
Lamu,6177,5869,308,6177,95.01376073,4.986239275
Machakos,43170,40173,2997,43170,93.05767894,6.942321056
Makueni,37044,34304,2740,37044,92.60339056,7.396609437
Mandera,12999,12767,232,12999,98.21524733,1.784752673
Marsabit,9274,9001,273,9274,97.05628639,2.943713608
Meru,43010,38529,4481,43010,89.58149268,10.41850732
Migori,46154,44559,1595,46154,96.54417819,3.455821814
Mombasa,18326,18179,147,18326,99.19786096,0.802139037
Murang'a,29532,27681,1851,29532,93.73222267,6.267777326
Nairobi,75539,72562,2977,75539,96.0589894,3.941010604
Nakuru,57971,56557,1414,57971,97.56084939,2.43915061
Nandi,33317,31402,1915,33317,94.25218357,5.74781643
Narok,37070,26866,10204,37070,72.47369841,27.52630159
Nyamira,26355,22857,3498,26355,86.72737621,13.27262379
Nyandarua,20203,17606,2597,20203,87.14547344,12.85452656
Nyeri,21548,19654,1894,21548,91.21032114,8.789678857
Samburu,10112,10003,109,10112,98.92207278,1.077927215
Siaya,36936,34114,2822,36936,92.35975742,7.640242582
Taita Taveta,11180,10748,432,11180,96.13595707,3.864042934
Tana River,6173,5189,984,6173,84.05961445,15.94038555
Tharaka Nithi,15443,13658,1785,15443,88.44136502,11.55863498
Trans Nzoia,34519,29863,4656,34519,86.51177612,13.48822388
Turkana,11674,11612,62,11674,99.46890526,0.53109474
Uasin Gishu,39434,34418,5016,39434,87.28001217,12.71998783
Vihiga,21874,19841,2033,21874,90.70586084,9.294139161
Wajir,8070,7908,162,8070,97.99256506,2.007434944
West Pokot,19525,16773,2752,19525,85.90524968,14.09475032
